row,title,participants,prosecution,sen_number,narrative
1,Use of Force,"ERO San Antonio, Karmes County Immigration Processing Center (KCIPC), ICE Health Service Corps (IHSC)","Undetermined, pending investigation",2024SIR0004128,"On January 2, 2024, ERO San Antonio reported the use of force on a Dominican national detainee, while housed at the KCIPC in Karnes City, Texas. On January 1, 2024, the detainee failed to comply with KCIPC staff orders in the dining facility. The detainee pulled out a comb that was modified as a weapon. KCIPC staff ordered the detainee to drop the comb, to which he refused. aati nt Brabbed the detaine's arms, guided him to the ground, gained compliance, and applied restraints KCIPC staff escorted the detainee to the medical unit for examination where he was cleared."
2,Use of Force,"ERO Houston, ICE Health Service Corps (IHSC), Montgomery Processing Center (MPC)","Undetermined, pending investigation",2024SIR0004222,"On January 4, 2024, ERO Houston reported the use of oleoresin capsicum (OC) on a Honduran national detainee while housed at the MPC in Conroe, Texas. On the same date, the detainee refused MPC staff orders and placed a washer in his mouth while in the Restricted Housing Unit. MPC staff deployed a one second burst of OC through the food tray slot located on the cell door to gain compliance. The detainee responded by swallowing the washer. MPC staff entered the cell and restrained the detainee. MPC staff escorted the detainee into another cell, provided him with a change of clothes, and instruction on how to decontaminate. IHSC evaluated the detainee and cleared him of any visible injuries. IHSC ordered the detainee to be transported to a local hospital in Conroe, Texas, for further assessment."
3,Use of Force,"ERO San Antonio, ICE Health Service Corps (IHSC), South Texas ICE Processing Center (STIPC)","Undetermined, pending investigation",2024SIR0004191,"On January 4, 2024, ERO San Antonio reported the use of force on an Ecuadorian national detainee, a Honduran national detainee and a Venezuelan national detainee while housed at the STIPC in Pearsall, Texas. On January 1, 2024, the Ecuadorian national detainee ensued a verbal altercation with the STIPC staff. During the altercation, STIPC staff responded with an immediate use of force, by take down, due to the detainee refusing to comply with verbal commands. During the use of force,  a Honduran national detainee and Ecuadorian national detainee attempted to interfere with the use of force, resulting in the deployment of chemical agents by STIPC staff to gain compliance. STIPC staff escorted the three detainees to the intake department for decontamination. HISC conducted medical examination of the detainees with no injuries reported."
4,Use of Force,"ERO Seattle, Northwest ICE Processing Center (NWPIC), ICE Health Service Corps (IHSC)","Undetermined, pending investigation",2024SIR0004224,"On January 4, 2024, ERO Seattle reported the immediate use of force on a Moldovan national detainee housed at the NWIPC in Tacoma, Washington. On January 3, 2024, the detainee physically resisted and NWIPC staff placed the detainee on the ground to gain control. NWIPC staff placed the detainee into the unit without further incident. THSC staff medically cleared the detainee. ERO leadership and The Joint Intake Center were notified."
5,Use of Force,"ERO Phoenix, ICE Health Service Corps (IHSC), Eloy Detention Center (EDC)","Undetermined, pending investigation",2024SIR0004281,"On January 6, 2024, ERO Phoenix reported the use of oleoresin capsicum (OC) spray on a Senegalese national detainee while housed at the EDC in Eloy, Arizona. On January 5, 2024, the detainee refused to comply with verbal commands by EDC contract staff to stop punching and kicking his cell door. The EDC staff deployed a short burst of OC spray into the detainee's cell to gain compliance. The detainee was extracted and escorted to the shower area for decontamination. THSC staff evaluated the detainee, reported no injuries, and released him to return to housing. The detainee was placed in administrative segregation pending a disciplinary hearing. ERO Leadership and the Joint Intake Center were notified."
6,Use of Force,"ERO Seattle, Northwest ICE Processing Center (NWPIC), ICE Health Service Corps (IHSC)","Undetermined, pending investigation",2024SIR000434,"On January 8, 2024, ERO Seattle reported the immediate use of force on a Micronesian national detainee housed at the NWIPC in Tacoma, Washington. On the same date, the detainee failed to comply with directives to submit to restraints. NWIPC contract officers took the detainee to the ground to gain control. IHSC staff confirmed that restraints were applied properly, and no further injuries were reported. ERO leadership and the Joint Intake Center were notified."
7,Use of Force,"ERO Miami, ICE Health Service Corps (IHSC), Krome Service Processing Center (KSPC)","Undetermined, pending investigation",2024SIR0004366,"On January 9, 2024, ERO Miami reported the use of oleoresin capsicum (OC) on a Haitian national detainee and a Mexican national detainee while housed at the KSPC in Miami, Florida. On January 8, 2024, one detainee physically attacked another detainee without provocation. KSPC staff attempted to gain control and secure the subject detainee, to no avail. KSPC staff deployed OC spray to gain control of the situation, but the subject continued physically resisting, resulting in KSPC staff redirecting the detainee to the ground where they were able to secure him in hand restraints Once restrained, all use of force ceased. KSPC staff took both detainees to decontamination and IHSC conducted 4 post use of force clearance. There were _ no injuries reported from the use of force. ERO Leadership was notified."
8,Use of Force,"ERO New Orleans, Jackson Parish Correctional Center (JPCC)","Undetermined, pending investigation",2024SIR0004392,"On January 9, 2024, ERO New Orleans reported the use of force and oleoresin capsicum (OC) spray on three Venezuelan national detainees while at the IPCC in Jonesboro, Louisiana. On the same date. one the detainees created a disturbance at the JPCC, and officers attempted to deescalate the situation by removing the detainee from his dorm. While officers attempted to move the detainee, two other detainees attempted to interfere. An ERO officer used an open palm to strike the detainee and push the detainee back. The detainee then struck an officer in the face with a closed fist. JPCC staff deployed two separate OC spray bursts to gain control of the situation. The detainees were decontaminated for exposure to OC spray. The detainees were escorted to the medical evaluation unit where one detainee complained of pain in his finger The officer who was struck in the face reported no major injuries as the result of the incident. ERO Leadership and the Joint Intake Center were notified."
9,Use of Force,"ERO San Antonio, South Texas ICE Processing Center (STIPC), ICE Health Service Corps (IHSC)","Undetermined, pending investigation",2024SIR0004444,"On January 10, 2024, ERO San Antonio reported the use of force on a Nicaraguan national detainee housed at STIPC in Pearsall, Texas. On the same date, the subject reportedly refused to comply with verbal commands while getting into a verbal _ altercation with another ICE detainee, STIPC staff responded with an immediate use of force, by takedown, and was able to gain compliance of the subject. IHSC conducted a medical examination of the detainee, and no injuries were sustained. A _ STIPC staff reported an injury to the right arm. The detainee was placed in segregated management unit."
10,Use of Force,"ERO Boston, Wyatt Detention Center (WDC)","Undetermined, pending investigation",2024SIR0004536,"On January 12, 2024, ERO Boston reported the use of force on a Haitian national detainee housed at the WDF in Central Falls, Rhode Island. On January 11, 2024, WDF staff attempted to give verbal commands to obtain compliance, which was unsuccessful. WDF staff took the detainee to the ground after the detainee became aggressive after being asked to return to receiving and discharge following suicide intentions. WDF staff placed the detainee into a wheelchair and escorted him to the Health Service Unit. The detainee continued to be disruptive and refused the WDF staff order to remain lying down. The detainee was place in medical for observation there were no injuries reported."
