row,sen_number,participant
1,2024SIR0004128,ERO San Antonio
1,2024SIR0004128,Karmes County Immigration Processing Center (KCIPC)
1,2024SIR0004128,ICE Health Service Corps (IHSC)
2,2024SIR0004222,ERO Houston
2,2024SIR0004222,ICE Health Service Corps (IHSC)
2,2024SIR0004222,Montgomery Processing Center (MPC)
3,2024SIR0004191,ERO San Antonio
3,2024SIR0004191,ICE Health Service Corps (IHSC)
3,2024SIR0004191,South Texas ICE Processing Center (STIPC)
4,2024SIR0004224,ERO Seattle
4,2024SIR0004224,Northwest ICE Processing Center (NWPIC)
4,2024SIR0004224,ICE Health Service Corps (IHSC)
5,2024SIR0004281,ERO Phoenix
5,2024SIR0004281,ICE Health Service Corps (IHSC)
5,2024SIR0004281,Eloy Detention Center (EDC)
6,2024SIR000434,ERO Seattle
6,2024SIR000434,Northwest ICE Processing Center (NWPIC)
6,2024SIR000434,ICE Health Service Corps (IHSC)
7,2024SIR0004366,ERO Miami
7,2024SIR0004366,ICE Health Service Corps (IHSC)
7,2024SIR0004366,Krome Service Processing Center (KSPC)
8,2024SIR0004392,ERO New Orleans
8,2024SIR0004392,Jackson Parish Correctional Center (JPCC)
9,2024SIR0004444,ERO San Antonio
9,2024SIR0004444,South Texas ICE Processing Center (STIPC)
9,2024SIR0004444,ICE Health Service Corps (IHSC)
10,2024SIR0004536,ERO Boston
10,2024SIR0004536,Wyatt Detention Center (WDC)
11,2024SIR0004569/ 2024SIR0004541,ERO Harlingen
11,2024SIR0004569/ 2024SIR0004541,ERO Laredo
11,2024SIR0004569/ 2024SIR0004541,Rio Grande Processing Center (RGPC)
12,2024SIR0004582,ERO Philadelphia
12,2024SIR0004582,Moshannon Valley Processing Center (MVPC)
13,2024SIR0004607,ERO Atlanta
13,2024SIR0004607,Stewart Detention Center (SDC)
14,2024SIR0004621,ERO Harlingen
14,2024SIR0004621,Rio Grande Processing Center (RGPC)
15,2024SIR0004630,ERO Harlingen
15,2024SIR0004630,ERO Laredo
15,2024SIR0004630,Rio Grande Processing Center (RGPC)
16,2024SIR0004679,ERO San Diego
16,2024SIR0004679,Otay Mesa Detention Center (OMDC)
17,2024SIR0004706,ERO San Antonio
17,2024SIR0004706,ICE Health Service Corps (IHSC)
17,2024SIR0004706,South Texas ICE Processing Center (STIPC)
18,2024SIR0004687,ERO San Antonio
18,2024SIR0004687,ICE Health Service Corps (IHSC)
18,2024SIR0004687,T. Don Hutto Detention Center (TDHDC)
19,2024SIR0004703,ERO San Antonio
19,2024SIR0004703,ICE Health Service Corps (IHSC)
19,2024SIR0004703,South Texas ICE Processing Center (STIPC)
20,2024SIR0004695,ERO San Diego
20,2024SIR0004695,Otay Mesa Detention Center (OMDC)
21,2024SIR0004747,ERO Houston
21,2024SIR0004747,Montgomery Processing Center (MPC)
21,2024SIR0004747,ICE Health Service Corps (IHSC)
22,2024SIR0004772,ERO San Antonio
22,2024SIR0004772,ICE Health Service Corps (IHSC)
22,2024SIR0004772,South Texas ICE Processing Center (STIPC)
23,2024SIR0004830,ERO Dallas
23,2024SIR0004830,Dallas Emergency Medical Services (EMS)
24,2024SIR0004882,ERO Harlingen
24,2024SIR0004882,ERO Laredo
24,2024SIR0004882,Rio Grande Processing Center (RGPC)
25,2024SIR0004890,ERO Harlingen
25,2024SIR0004890,Rio Grande Processing Center (RGPC)
26,2024SIR0004911,ERO Philadelphia
26,2024SIR0004911,Moshannon Valley Processing Center (MVPC)
27,2024SIR0004963,ERO Houston
27,2024SIR0004963,ICE Health Service Corps (IHSC)
27,2024SIR0004963,Montgomery Processing Center (MPC)
28,2024SIR0004924,ERO San Antonio
28,2024SIR0004924,ICE Health Service Corps (IHSC)
28,2024SIR0004924,South Texas ICE Processing Center (STIPC)
29,2024SIR0009241,ERO Salt Lake
29,2024SIR0009241,Nye County Detention Center (NCDC)
29,2024SIR0009241,Nye County Sheriff's Department (NCSD)
30,2024SIR0009292,ERO Phoenix
30,2024SIR0009292,ICE Health Service Corps (IHSC)
30,2024SIR0009292,Eloy Detention Center (EDC)
31,2024SIR0009381,ERO Miami
31,2024SIR0009381,Krome Service Processing Center (KSPC)
31,2024SIR0009381,ICE Health Service Corps (IHSC)
32,2024SIR0009397,ERO Miami
32,2024SIR0009397,ICE Health Service Corps (IHSC)
32,2024SIR0009397,Krome Service Processing Center (KSPC)
33,2024SIR0009404,ERO San Francisco
33,2024SIR0009404,ERO Bakersfield
33,2024SIR0009404,ICE Health Service Corps (IHSC)
33,2024SIR0009404,Golden State Annex (GSA)
34,2024SIR0009366,ERO Washington
34,2024SIR0009366,ICE Health Service Corps (IHSC)
34,2024SIR0009366,Caroline Detention Facility (CDF)
35,2024SIR0009386,ERO Washington
35,2024SIR0009386,Caroline Detention Facility (CDF)
36,2024SIR0009501,ERO Philadelphia
36,2024SIR0009501,Moshannon Valley Processing Center (MVPC)
37,2024SIR0009659,ERO El Paso
37,2024SIR0009659,El Paso Processing Center (EPC)
37,2024SIR0009659,ICE Health Service Corps (IHSC)
38,2024SIR0009668,ERO San Antonio
38,2024SIR0009668,South Texas ICE Processing Center (STIPC)
38,2024SIR0009668,ICE Health Service Corps (IHSC)
39,2024SIR0009643,ERO Seattle
39,2024SIR0009643,Northwest ICE Processing Center (NWPIC)
40,2024SIR0009820,ERO Houston
40,2024SIR0009820,ICE Health Service Corps (IHSC)
40,2024SIR0009820,IAH Secure Adult Detention Center (IAH)
41,2024SIR0009824,ERO Houston
41,2024SIR0009824,ICE Health Service Corps (IHSC)
41,2024SIR0009824,Montgomery Processing Center (MPC)
42,2024SIR0009892,ERO Atlanta
42,2024SIR0009892,Stewart Detention Center (SDC)
43,2024SIR0010028,ERO Chicago
